,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
59,Hocus Pocus,1970-01-01 00:00:00.000001993,6.9,"110,741","Comedy, Family, Fantasy",96.0,Film,PG,-,Mild,Mild,Mild,Mild,Moderate
60,The Office,1970-01-01 00:00:00.000001993,8.9,"475,207",Comedy,22.0,Series,TV-14,188,Mild,,Mild,Mild,
61,Chicago Fire,1970-01-01 00:00:00.000001993,8.0,"46,774","Action, Drama",43.0,Series,TV-14,202,Mild,Moderate,Mild,Mild,Mild
62,Dune,1970-01-01 00:00:00.000001984,6.4,"142,157","Action, Adventure, Sci-Fi",137.0,Film,PG-13,-,Mild,Moderate,,Mild,Moderate
63,You,1970-01-01 00:00:00.000001984,7.7,"173,763","Crime, Drama, Romance",45.0,Series,TV-MA,31,Moderate,Moderate,Mild,Mild,Moderate
64,Den skyldige,1970-01-01 00:00:00.000002018,7.5,"52,965","Crime, Drama, Thriller",85.0,Film,R,-,,,Mild,,Moderate
65,Quantum of Solace,1970-01-01 00:00:00.000002008,6.6,"424,649","Action, Adventure, Thriller",106.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
66,Doom Patrol,1970-01-01 00:00:00.000002008,7.9,"43,676","Action, Adventure, Comedy",60.0,Series,TV-MA,35,Moderate,Severe,Severe,Mild,Moderate
67,Yellowstone,1970-01-01 00:00:00.000002008,8.6,"48,060","Drama, Western",60.0,Series,TV-MA,32,Moderate,Moderate,Severe,Moderate,Moderate
68,The Suicide Squad,1970-01-01 00:00:00.000002021,7.3,"224,344","Action, Adventure, Comedy",132.0,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
69,Friends,1970-01-01 00:00:00.000002021,8.8,"903,947","Comedy, Romance",22.0,Series,TV-PG,235,Mild,,Mild,Mild,
70,Eternals,1970-01-01 00:00:00.000002021,No Rate,No Votes,"Action, Adventure, Drama",157.0,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
71,Brooklyn Nine-Nine,1970-01-01 00:00:00.000002021,8.4,"267,096","Comedy, Crime",22.0,Series,TV-14,153,Mild,Mild,Mild,Mild,Mild
72,Cruella,1970-01-01 00:00:00.000002021,7.4,"174,071","Adventure, Comedy, Crime",134.0,Film,PG-13,-,,Mild,Mild,Mild,Mild
73,The Blacklist,1970-01-01 00:00:00.000002021,8.0,"219,628","Crime, Drama, Mystery",43.0,Series,TV-14,177,,Moderate,Mild,Mild,Mild
74,Supernatural,1970-01-01 00:00:00.000002021,8.4,"411,255","Drama, Fantasy, Horror",44.0,Series,TV-14,327,Mild,Moderate,Mild,Mild,Moderate
75,Downton Abbey,1970-01-01 00:00:00.000002021,8.7,"180,688","Drama, Romance",58.0,Series,TV-PG,52,Mild,Mild,Mild,Mild,Mild
76,Animal Kingdom,1970-01-01 00:00:00.000002021,8.2,"30,515","Crime, Drama",60.0,Series,TV-MA,75,Moderate,Moderate,Moderate,Severe,Moderate
77,Criminal Minds,1970-01-01 00:00:00.000002021,8.1,"177,854","Crime, Drama, Mystery",42.0,Series,TV-14,323,Mild,Severe,Mild,Mild,Severe
78,Halloween,1970-01-01 00:00:00.000001978,7.7,"248,788","Horror, Thriller",91.0,Film,R,-,Moderate,Moderate,Mild,Mild,Severe
80,Infinite,1970-01-01 00:00:00.000002021,5.5,"32,451","Action, Sci-Fi, Thriller",106.0,Film,PG-13,-,,Moderate,Moderate,Mild,Moderate
81,V/H/S/94,1970-01-01 00:00:00.000002021,5.5,"3,196","Horror, Mystery, Thriller",103.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
82,The Good Doctor,1970-01-01 00:00:00.000002021,8.1,"78,703",Drama,41.0,Series,TV-14,80,Mild,Moderate,Mild,Mild,Mild
83,Dexter,1970-01-01 00:00:00.000002021,8.6,"678,377","Crime, Drama, Mystery",53.0,Series,TV-MA,96,Moderate,Severe,Severe,Mild,Severe
84,The Green Knight,1970-01-01 00:00:00.000002021,6.6,"53,565","Adventure, Drama, Fantasy",130.0,Film,R,-,Moderate,Moderate,,Mild,Moderate
85,Last Man Down,1970-01-01 00:00:00.000002021,No Rate,No Votes,Action,87.0,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
86,The French Dispatch,1970-01-01 00:00:00.000002021,7.4,"1,370","Comedy, Drama, Romance",108.0,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
87,The Boys,1970-01-01 00:00:00.000002021,8.7,"316,047","Action, Crime, Drama",60.0,Series,TV-MA,24,Severe,Severe,Severe,Moderate,Severe
89,Vikings,1970-01-01 00:00:00.000002021,8.5,"472,761","Action, Adventure, Drama",44.0,Series,TV-MA,93,Severe,Severe,Mild,Mild,Severe
91,Silent Witness,1970-01-01 00:00:00.000002021,7.8,"7,917","Crime, Drama, Mystery",120.0,Series,TV-14,232,Severe,Severe,Moderate,Moderate,Severe
93,The Card Counter,1970-01-01 00:00:00.000002021,6.2,"9,236","Crime, Drama, Thriller",111.0,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe
94,Lamb,1970-01-01 00:00:00.000002021,6.7,"2,251","Drama, Horror, Mystery",106.0,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
95,Midsomer Murders,1970-01-01 00:00:00.000002021,7.8,"28,198","Crime, Drama, Mystery",90.0,Series,TV-14,132,Mild,Moderate,Mild,Mild,Moderate
96,Rick and Morty,1970-01-01 00:00:00.000002021,9.2,"436,882","Animation, Adventure, Comedy",23.0,Series,TV-MA,52,Moderate,Severe,Severe,Severe,Moderate
97,After We Fell,1970-01-01 00:00:00.000002021,5.0,"2,719",Drama,98.0,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
98,Riverdale,1970-01-01 00:00:00.000002021,6.7,"130,524","Crime, Drama, Mystery",45.0,Series,TV-14,98,Moderate,Moderate,Mild,Moderate,Moderate
99,The Harder They Fall,1970-01-01 00:00:00.000002021,5.2,315,"Drama, Western",130.0,Film,R,-,Mild,Severe,Moderate,Moderate,Severe
101,Chicago Med,1970-01-01 00:00:00.000002021,7.6,"20,080",Drama,43.0,Series,TV-14,126,Mild,Moderate,Mild,Mild,Moderate
104,Promising Young Woman,1970-01-01 00:00:00.000002020,7.5,"132,936","Crime, Drama, Thriller",113.0,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
105,Modern Family,1970-01-01 00:00:00.000002020,8.4,"388,093","Comedy, Drama, Romance",22.0,Series,TV-PG,250,Mild,,Mild,Mild,
106,The Mandalorian,1970-01-01 00:00:00.000002020,8.8,"359,850","Action, Adventure, Sci-Fi",40.0,Series,TV-14,24,,Moderate,,,Moderate
107,Queenpins,1970-01-01 00:00:00.000002021,6.2,"3,525","Comedy, Crime",110.0,Film,R,-,,,Moderate,,
108,The Big Bang Theory,1970-01-01 00:00:00.000002021,8.1,"753,761","Comedy, Romance",22.0,Series,TV-PG,280,Mild,,Mild,Mild,
109,The Wire,1970-01-01 00:00:00.000002021,9.3,"306,334","Crime, Drama, Thriller",59.0,Series,TV-MA,60,Severe,Severe,Severe,Severe,Severe
110,Doctor Who,1970-01-01 00:00:00.000002021,8.6,"207,605","Adventure, Drama, Family",45.0,Series,TV-PG,200,,Mild,Mild,,Moderate
111,Candyman,1970-01-01 00:00:00.000002021,6.0,"35,936","Horror, Thriller",91.0,Film,R,-,,Severe,Moderate,Mild,Severe
112,The White Lotus,1970-01-01 00:00:00.000002021,7.7,"37,058","Comedy, Drama",353.0,Series,TV-MA,7,Moderate,Mild,Moderate,Severe,
113,The Witcher,1970-01-01 00:00:00.000002021,8.2,"353,732","Action, Adventure, Fantasy",60.0,Series,TV-MA,17,Severe,Severe,Moderate,Mild,Moderate
114,The Starling,1970-01-01 00:00:00.000002021,6.3,"6,994","Comedy, Drama",102.0,Film,PG-13,-,Mild,,Mild,Mild,
115,Kate,1970-01-01 00:00:00.000002021,6.3,"41,301","Action, Adventure, Crime",106.0,Film,R,-,Mild,Severe,Severe,Mild,Moderate
117,Knives Out,1970-01-01 00:00:00.000002019,7.9,"537,031","Comedy, Crime, Drama",130.0,Film,PG-13,-,,Mild,Moderate,Mild,Mild
118,New Amsterdam,1970-01-01 00:00:00.000002019,8.1,"30,554",Drama,43.0,Series,TV-14,61,Mild,Moderate,Mild,Moderate,Moderate
119,Cry Macho,1970-01-01 00:00:00.000002021,5.8,"13,148","Drama, Thriller, Western",104.0,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
120,Castle,1970-01-01 00:00:00.000002021,8.1,"146,732","Comedy, Crime, Drama",43.0,Series,TV-14,173,Mild,Moderate,Mild,Mild,Moderate
121,Black Mirror,1970-01-01 00:00:00.000002021,8.8,"482,062","Drama, Sci-Fi, Thriller",60.0,Series,TV-MA,22,Severe,Severe,Severe,Mild,Severe
123,Till Death,1970-01-01 00:00:00.000002021,5.8,"12,586","Horror, Thriller",88.0,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
124,The Voyeurs,1970-01-01 00:00:00.000002021,5.9,"10,281","Drama, Mystery, Thriller",120.0,Film,R,-,Severe,Moderate,Mild,Moderate,Moderate
125,The Crown,1970-01-01 00:00:00.000002021,8.6,"176,135","Biography, Drama, History",58.0,Series,TV-MA,60,Moderate,Mild,Mild,Mild,Mild
126,Better Call Saul,1970-01-01 00:00:00.000002021,8.8,"359,684","Crime, Drama",46.0,Series,TV-MA,63,Mild,Moderate,Moderate,Moderate,Moderate
127,The Handmaid's Tale,1970-01-01 00:00:00.000002021,8.4,"204,512","Drama, Sci-Fi, Thriller",60.0,Series,TV-MA,47,Severe,Severe,Moderate,Mild,Severe
128,Lost,1970-01-01 00:00:00.000002021,8.3,"520,422","Adventure, Drama, Fantasy",44.0,Series,TV-14,119,Mild,Moderate,Mild,Moderate,Moderate
129,Outlander,1970-01-01 00:00:00.000002021,8.4,"138,887","Drama, Fantasy, Romance",64.0,Series,TV-MA,87,Severe,Severe,Moderate,Mild,Moderate
130,The Simpsons,1970-01-01 00:00:00.000002021,8.6,"381,626","Animation, Comedy",22.0,Series,TV-PG,731,Moderate,Moderate,Mild,Moderate,Mild
131,Dear Evan Hansen,1970-01-01 00:00:00.000002021,6.0,"5,468","Drama, Musical",137.0,Film,PG-13,-,Mild,,Mild,Mild,Mild
132,CSI: Crime Scene Investigation,1970-01-01 00:00:00.000002021,7.6,"80,011","Crime, Drama, Mystery",60.0,Series,TV-14,336,Mild,Severe,Mild,Mild,Moderate
134,It's Always Sunny in Philadelphia,1970-01-01 00:00:00.000002021,8.8,"201,983",Comedy,22.0,Series,TV-MA,157,Moderate,Mild,Severe,Severe,Mild
135,Hypnotic,1970-01-01 00:00:00.000002021,No Rate,No Votes,"Drama, Horror, Thriller",88.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
