,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
3522,Mashina lyubvi,1970-01-01 00:00:00.000002016,4.1,416,"Drama, Romance",79.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
3523,The Prince,1970-01-01 00:00:00.000002016,5.4,"2,247","Animation, Comedy",14.0,Series,TV-MA,12,Moderate,Moderate,Severe,Moderate,Mild
3524,An American Werewolf in Paris,1970-01-01 00:00:00.000001997,5.1,"24,293","Comedy, Fantasy, Horror",105.0,Film,R,-,Moderate,Severe,Severe,Mild,Severe
3525,Red Dawn,1970-01-01 00:00:00.000001984,6.4,"53,794","Action, Drama",114.0,Film,PG-13,-,,Severe,Mild,Mild,Moderate
3526,Creature from the Black Lagoon,1970-01-01 00:00:00.000001954,7.0,"28,594","Horror, Sci-Fi",79.0,Film,G,-,,Mild,,Mild,Mild
3527,Dubai Presents: A Five-Star Mission,1970-01-01 00:00:00.000002021,5.8,79,"Short, Action",2.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
3528,Lost Girl,1970-01-01 00:00:00.000002021,7.7,"29,919","Action, Drama, Fantasy",44.0,Series,TV-MA,77,Moderate,Mild,Mild,Mild,Mild
3529,Journey to the Center of the Earth,1970-01-01 00:00:00.000002008,5.8,"117,919","Action, Adventure, Family",93.0,Film,PG,-,,Mild,,,Moderate
3530,Colonia,1970-01-01 00:00:00.000002015,7.1,"50,275","Biography, Drama, History",110.0,Film,R,-,Mild,Moderate,Mild,,Moderate
3531,Three Amigos!,1970-01-01 00:00:00.000001986,6.5,"71,727","Comedy, Western",104.0,Film,PG,-,Mild,Mild,Mild,Mild,Mild
3532,The Ten Commandments,1970-01-01 00:00:00.000001956,7.9,"67,347","Adventure, Drama",220.0,Film,G,-,Mild,Mild,,Mild,Mild
3533,Brain Freeze,1970-01-01 00:00:00.000002021,4.6,159,"Comedy, Horror",91.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
3534,Videodrome,1970-01-01 00:00:00.000001983,7.2,"88,064","Horror, Sci-Fi, Thriller",87.0,Film,R,-,Severe,Severe,Moderate,Mild,Severe
3535,Chung Hing sam lam,1970-01-01 00:00:00.000001994,8.1,"72,157","Comedy, Crime, Drama",102.0,Film,PG-13,-,Mild,Mild,,Moderate,Mild
3536,God's Own Country,1970-01-01 00:00:00.000002017,7.7,"28,174","Drama, Romance",104.0,Film,Not Rated,-,Severe,Mild,Mild,Moderate,Mild
3537,The Last Boy Scout,1970-01-01 00:00:00.000001991,7.0,"97,684","Action, Comedy, Crime",105.0,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate
3538,Original Sin,1970-01-01 00:00:00.000002001,6.1,"55,435","Drama, Mystery, Romance",116.0,Film,R,-,Severe,Moderate,Mild,Mild,Mild
3539,John Wick: Chapter 3 - Parabellum: HBO First Look,1970-01-01 00:00:00.000002019,7.6,"9,495","Documentary, Short, Action",13.0,Film,TV-14,-,No Rate,No Rate,No Rate,No Rate,No Rate
3540,Machete,1970-01-01 00:00:00.000002010,6.6,"194,182","Action, Crime, Thriller",105.0,Film,R,-,Moderate,Severe,Severe,Mild,Moderate
3541,The Amityville Moon,1970-01-01 00:00:00.000002021,3.1,123,"Horror, Thriller",92.0,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate
3543,Soylent Green,1970-01-01 00:00:00.000001973,7.1,"61,303","Crime, Mystery, Sci-Fi",97.0,Film,PG,-,Mild,Moderate,Mild,Mild,Mild
3544,Everwood,1970-01-01 00:00:00.000001973,7.5,"13,551",Drama,60.0,Series,TV-PG,89,Mild,Mild,Mild,Mild,No Rate
3545,The Dark Crystal: Age of Resistance,1970-01-01 00:00:00.000002019,8.4,"22,994","Adventure, Drama, Family",60.0,Series,TV-PG,10,,Moderate,,,Moderate
3546,Captive State,1970-01-01 00:00:00.000002019,6.0,"52,635","Action, Horror, Sci-Fi",109.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
3547,Rake,1970-01-01 00:00:00.000002019,8.5,"7,268","Comedy, Drama",60.0,Series,Not Rated,40,Moderate,Mild,Severe,Moderate,Mild
3548,Abominable,1970-01-01 00:00:00.000002019,7.0,"34,344","Animation, Adventure, Comedy",97.0,Film,PG,-,,Mild,,,Mild
3549,The Voice,1970-01-01 00:00:00.000002019,6.5,"12,085","Game-Show, Music, Reality-TV",60.0,Series,TV-PG,503,,,Mild,,
3550,The Upside,1970-01-01 00:00:00.000002017,7.0,"52,317","Comedy, Drama",126.0,Film,PG-13,-,Mild,,Mild,Mild,Mild
3551,The Great Escape,1970-01-01 00:00:00.000001963,8.2,"234,357","Adventure, Drama, History",172.0,Film,Approved,-,,Mild,Mild,Mild,Moderate
3552,Daybreakers,1970-01-01 00:00:00.000002009,6.4,"125,541","Action, Horror, Sci-Fi",98.0,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
3553,Annie,1970-01-01 00:00:00.000002014,5.3,"36,356","Comedy, Drama, Family",118.0,Film,PG,-,,Mild,Mild,Mild,Mild
3554,Inside Job,1970-01-01 00:00:00.000002014,No Rate,No Votes,"Animation, Comedy",30.0,Series,,20,No Rate,No Rate,No Rate,No Rate,No Rate
3555,Need for Speed,1970-01-01 00:00:00.000002014,6.4,"166,910","Action, Crime, Thriller",132.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
3556,Bruce Almighty,1970-01-01 00:00:00.000002003,6.8,"384,961","Comedy, Fantasy",101.0,Film,(Banned),-,Mild,Mild,Moderate,Mild,
3557,American Honey,1970-01-01 00:00:00.000002016,7.0,"40,847","Adventure, Drama, Romance",163.0,Film,R,-,Moderate,Mild,Severe,Severe,Mild
3558,Robin Hood: Men in Tights,1970-01-01 00:00:00.000001993,6.7,"120,960","Adventure, Comedy, Musical",104.0,Film,PG-13,-,Moderate,Mild,Moderate,Mild,Mild
3559,Roma,1970-01-01 00:00:00.000002018,7.7,"148,948",Drama,135.0,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
3560,Ghostland,1970-01-01 00:00:00.000002018,6.4,"26,931","Drama, Horror, Mystery",91.0,Film,Not Rated,-,Moderate,Severe,Moderate,Mild,Severe
3561,Brooklyn,1970-01-01 00:00:00.000002015,7.5,"136,792","Drama, Romance",117.0,Film,PG-13,-,Mild,,Mild,Mild,Mild
3562,St. Elmo's Fire,1970-01-01 00:00:00.000001985,6.4,"39,830","Drama, Romance",110.0,Film,R,-,Mild,Mild,Moderate,Moderate,Mild
3563,Nacho Libre,1970-01-01 00:00:00.000002006,5.8,"84,792","Comedy, Family, Sport",92.0,Film,PG,-,,Mild,,Mild,Mild
3564,The Dictator,1970-01-01 00:00:00.000002012,6.4,"290,362",Comedy,83.0,Film,R,-,Severe,Mild,Moderate,Mild,
3565,Happy!,1970-01-01 00:00:00.000002012,8.2,"35,862","Action, Comedy, Crime",60.0,Series,TV-MA,18,Moderate,Severe,Severe,Severe,Severe
3566,The Inbetweeners,1970-01-01 00:00:00.000002012,8.4,"83,570",Comedy,25.0,Series,TV-14,18,Moderate,Mild,Severe,Moderate,
3567,Before Midnight,1970-01-01 00:00:00.000002013,7.9,"149,185","Drama, Romance",109.0,Film,R,-,Moderate,,Moderate,Mild,
3568,Harlots,1970-01-01 00:00:00.000002013,7.7,"7,915",Drama,45.0,Series,TV-MA,24,Severe,No Rate,No Rate,No Rate,No Rate
3569,The Mighty Ducks,1970-01-01 00:00:00.000001992,6.6,"63,503","Comedy, Drama, Family",104.0,Film,PG,-,,Mild,Moderate,Mild,
3570,Crank,1970-01-01 00:00:00.000002006,6.9,"242,113","Action, Crime, Thriller",88.0,Film,R,-,Severe,Severe,Severe,Severe,Severe
3571,L'iniziazione,1970-01-01 00:00:00.000001986,5.8,"1,441",Comedy,95.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
3572,Joy Ride,1970-01-01 00:00:00.000002001,6.6,"66,954","Action, Mystery, Thriller",97.0,Film,R,-,Mild,Moderate,Severe,Mild,Severe
3573,Jessie,1970-01-01 00:00:00.000002001,6.0,"14,245","Comedy, Drama, Family",30.0,Series,TV-G,98,Mild,,,,Mild
3574,The Bone Collector,1970-01-01 00:00:00.000001999,6.7,"161,944","Crime, Drama, Mystery",118.0,Film,R,-,,Severe,Moderate,Mild,Moderate
3575,Poltergeist II: The Other Side,1970-01-01 00:00:00.000001986,5.7,"26,214",Horror,91.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Severe
3576,The Hills Have Eyes,1970-01-01 00:00:00.000001977,6.3,"32,811","Horror, Thriller",90.0,Film,R,-,Mild,Severe,Moderate,Mild,Severe
3577,The Circle,1970-01-01 00:00:00.000002017,5.4,"88,890","Drama, Sci-Fi, Thriller",110.0,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild
3578,Spell,1970-01-01 00:00:00.000002020,5.5,"5,308","Horror, Thriller",91.0,Film,R,-,Mild,Severe,Mild,,Moderate
3579,The Crush,1970-01-01 00:00:00.000001993,5.8,"19,102","Drama, Thriller",89.0,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
3580,Criminal,1970-01-01 00:00:00.000002016,6.3,"63,252","Action, Sci-Fi, Thriller",113.0,Film,R,-,,Severe,Severe,Mild,Moderate
3581,Tell Me a Story,1970-01-01 00:00:00.000002016,7.2,"8,317",Thriller,52.0,Series,TV-MA,20,Moderate,Moderate,Moderate,Moderate,Moderate
3582,Dark Shadows,1970-01-01 00:00:00.000002016,8.0,"4,449","Drama, Fantasy, Horror",30.0,Series,TV-PG,1230,Moderate,Mild,,Mild,Moderate
3583,Despicable Me 2,1970-01-01 00:00:00.000002013,7.3,"381,850","Animation, Adventure, Comedy",98.0,Film,PG,-,Mild,Mild,,Mild,Mild
3584,My Bloody Valentine,1970-01-01 00:00:00.000002009,5.4,"55,409","Horror, Mystery, Thriller",101.0,Film,R,-,Severe,Severe,Severe,Moderate,Severe
3585,South Beach Love,1970-01-01 00:00:00.000002021,6.0,321,"Drama, Romance",83.0,Film,TV-G,-,,,,,
3586,Absentia,1970-01-01 00:00:00.000002011,5.8,"17,873","Drama, Horror, Mystery",87.0,Film,R,-,,Moderate,Moderate,Mild,Moderate
3587,The Beguiled,1970-01-01 00:00:00.000002017,6.3,"55,377","Drama, Thriller, War",93.0,Film,R,-,Mild,Moderate,Mild,Mild,Mild
3588,Professor Marston and the Wonder Women,1970-01-01 00:00:00.000002017,7.1,"25,169","Biography, Drama, History",108.0,Film,R,-,Moderate,,Mild,Mild,
3589,The Missing,1970-01-01 00:00:00.000002003,6.5,"34,710","Adventure, Thriller, Western",137.0,Film,R,-,Mild,Moderate,,,Moderate
3590,Village of the Damned,1970-01-01 00:00:00.000001995,5.7,"30,594","Horror, Sci-Fi, Thriller",98.0,Film,R,-,,Moderate,Mild,Mild,Moderate
3591,Romance,1970-01-01 00:00:00.000001999,5.3,"10,488","Drama, Romance",84.0,Film,Unrated,-,Severe,,Mild,Mild,Mild
3592,Raising Hope,1970-01-01 00:00:00.000001999,8.0,"36,252","Comedy, Family",22.0,Series,TV-PG,88,Mild,Mild,Mild,Mild,Mild
3593,Something's Gotta Give,1970-01-01 00:00:00.000002003,6.7,"116,736","Comedy, Drama, Romance",128.0,Film,PG-13,-,Moderate,,Mild,Mild,
3594,M - Eine Stadt sucht einen Mörder,1970-01-01 00:00:00.000001931,8.3,"151,051","Crime, Mystery, Thriller",117.0,Film,Passed,-,,Mild,Mild,Mild,Moderate
3595,Burn After Reading,1970-01-01 00:00:00.000002008,7.0,"321,308","Comedy, Crime, Drama",96.0,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
3596,Gentlemen Prefer Blondes,1970-01-01 00:00:00.000001953,7.2,"34,979","Comedy, Musical, Romance",91.0,Film,Approved,-,Mild,,,Mild,
3597,Eastern Promises,1970-01-01 00:00:00.000002007,7.6,"235,060","Action, Crime, Drama",100.0,Film,R,-,Severe,Severe,Severe,Moderate,Moderate
3598,This Is Spinal Tap,1970-01-01 00:00:00.000001984,7.9,"134,997","Comedy, Music",82.0,Film,R,-,Mild,,Moderate,Mild,
3599,Before Sunset,1970-01-01 00:00:00.000002004,8.1,"248,777","Drama, Romance",80.0,Film,R,-,Mild,,Moderate,Mild,
3600,The Kissing Booth 3,1970-01-01 00:00:00.000002021,4.7,"12,397","Comedy, Romance",112.0,Film,TV-14,-,Mild,,Moderate,Mild,
3601,Undercover,1970-01-01 00:00:00.000002021,8.2,"1,617","Action, Crime, Drama",50.0,Series,TV-MA,8,Mild,Severe,Severe,Severe,Severe
3602,Vampires,1970-01-01 00:00:00.000001998,6.1,"56,120","Action, Horror, Thriller",108.0,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
3603,Six,1970-01-01 00:00:00.000001998,7.3,"11,937","Action, Drama, History",60.0,Series,TV-MA,19,Moderate,Severe,No Rate,No Rate,No Rate
3604,The Practice,1970-01-01 00:00:00.000001998,7.7,"8,454","Crime, Drama, Mystery",60.0,Series,TV-14,167,No Rate,No Rate,No Rate,No Rate,No Rate
3605,Lara Croft Tomb Raider: The Cradle of Life,1970-01-01 00:00:00.000002003,5.6,"135,111","Action, Adventure, Fantasy",117.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3606,Clear and Present Danger,1970-01-01 00:00:00.000001994,6.9,"95,189","Action, Crime, Drama",141.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3607,Roman Empire,1970-01-01 00:00:00.000001994,7.0,"6,861","Documentary, Biography, Drama",48.0,Series,TV-MA,15,Severe,Moderate,Mild,Mild,Mild
3608,Covert Affairs,1970-01-01 00:00:00.000001994,7.3,"27,951","Action, Crime, Drama",60.0,Series,TV-PG,75,Mild,Mild,Moderate,Mild,Mild
3609,Monster,1970-01-01 00:00:00.000001994,8.6,"24,327","Animation, Crime, Drama",24.0,Series,TV-14,75,Moderate,Moderate,Mild,Moderate,Severe
3610,Teenage Mutant Ninja Turtles: Out of the Shadows,1970-01-01 00:00:00.000002016,6.0,"88,362","Action, Adventure, Comedy",112.0,Film,PG-13,-,,Moderate,Mild,Mild,Mild
3611,Sardar Udham,1970-01-01 00:00:00.000002021,9.2,"8,649","Biography, Crime, Drama",164.0,Film,,-,No Rate,No Rate,No Rate,No Rate,No Rate
3612,Scary Movie 5,1970-01-01 00:00:00.000002013,3.5,"68,660",Comedy,88.0,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
3613,Tales from the Loop,1970-01-01 00:00:00.000002013,7.5,"16,612","Drama, Sci-Fi",50.0,Series,TV-MA,8,Moderate,,Moderate,Mild,No Rate
3614,Bom yeoreum gaeul gyeoul geurigo bom,1970-01-01 00:00:00.000002003,8.0,"80,451","Drama, Romance",103.0,Film,R,-,Moderate,Mild,Mild,,Mild
3615,Waitress,1970-01-01 00:00:00.000002007,7.0,"44,999","Comedy, Drama, Romance",108.0,Film,PG-13,-,Mild,Mild,Mild,No Rate,Moderate
3616,Explained,1970-01-01 00:00:00.000002007,8.0,"8,187",Documentary,18.0,Series,TV-MA,44,Moderate,No Rate,No Rate,No Rate,No Rate
3617,Shakespeare & Hathaway: Private Investigators,1970-01-01 00:00:00.000002007,7.6,"2,951","Comedy, Drama, Mystery",45.0,Series,Not Rated,40,,Mild,,Mild,Mild
3618,The Rocky Horror Picture Show: Let's Do the Time Warp Again,1970-01-01 00:00:00.000002016,4.2,"7,223","Comedy, Horror, Musical",88.0,Film,TV-14,-,Moderate,Mild,Moderate,Moderate,Moderate
3619,DOA: Dead or Alive,1970-01-01 00:00:00.000002006,4.8,"44,244","Action, Adventure, Mystery",87.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
3620,Good on Paper,1970-01-01 00:00:00.000002021,5.6,"9,730","Comedy, Romance",92.0,Film,Unrated,-,Mild,Mild,Severe,Moderate,No Rate
3621,Coach Carter,1970-01-01 00:00:00.000002005,7.3,"136,769","Biography, Drama, Sport",136.0,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Mild
3622,Calls,1970-01-01 00:00:00.000002005,7.7,"3,957","Drama, Horror, Mystery",12.0,Series,TV-MA,9,Mild,Moderate,Severe,Mild,Moderate
3623,8 Simple Rules... for Dating My Teenage Daughter,1970-01-01 00:00:00.000002005,7.0,"24,726","Comedy, Drama",30.0,Series,TV-PG,76,Mild,Mild,Mild,Mild,
3624,Empire of the Sun,1970-01-01 00:00:00.000001987,7.7,"120,531","Action, Drama, History",153.0,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
3625,Outbreak,1970-01-01 00:00:00.000001995,6.6,"125,115","Action, Drama, Thriller",127.0,Film,R,-,,Moderate,Moderate,,Moderate
3626,Dream House,1970-01-01 00:00:00.000002011,6.0,"65,324","Drama, Mystery, Thriller",84.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
3627,Dog Day Afternoon,1970-01-01 00:00:00.000001975,8.0,"246,494","Biography, Crime, Drama",125.0,Film,R,-,,Moderate,Severe,Mild,Mild
3628,Knocked Up,1970-01-01 00:00:00.000002007,6.9,"359,433","Comedy, Romance",129.0,Film,R,-,Severe,,Severe,Severe,Mild
3629,Zone Blanche,1970-01-01 00:00:00.000002007,7.5,"9,359","Crime, Drama, Horror",52.0,Series,TV-MA,16,Mild,Moderate,No Rate,Mild,No Rate
3630,What Dreams May Come,1970-01-01 00:00:00.000001998,7.0,"105,929","Drama, Fantasy, Romance",113.0,Film,PG-13,-,Mild,Mild,Moderate,,Moderate
3631,Kôkaku Kidôtai,1970-01-01 00:00:00.000001995,8.0,"136,141","Animation, Action, Crime",83.0,Film,TV-MA,-,Moderate,Moderate,Moderate,Mild,Moderate
3632,Party of Five,1970-01-01 00:00:00.000001995,6.8,"9,916","Drama, Family",60.0,Series,TV-PG,143,Mild,,Mild,Moderate,
3633,Sex and the City 2,1970-01-01 00:00:00.000002010,4.5,"76,717","Comedy, Drama, Romance",146.0,Film,R,-,Moderate,,Moderate,Mild,
3634,Code 8,1970-01-01 00:00:00.000002019,6.1,"37,309","Action, Crime, Drama",98.0,Film,Not Rated,-,Mild,Moderate,Severe,Moderate,Moderate
3635,Begin Again,1970-01-01 00:00:00.000002013,7.4,"149,572","Comedy, Drama, Music",104.0,Film,R,-,,,Moderate,Mild,
3636,Black Christmas,1970-01-01 00:00:00.000001974,7.2,"36,911","Horror, Mystery, Thriller",98.0,Film,R,-,Mild,Moderate,Severe,Mild,Severe
3637,Circle,1970-01-01 00:00:00.000002015,6.0,"50,827","Drama, Horror, Mystery",87.0,Film,Not Rated,-,,Mild,Moderate,,Mild
3638,Scooby-Doo and Guess Who?,1970-01-01 00:00:00.000002015,7.3,"1,094","Animation, Comedy, Family",22.0,Series,TV-PG,54,,,,,Mild
3639,My Big Fat Greek Wedding,1970-01-01 00:00:00.000002002,6.6,"125,219","Comedy, Drama, Romance",95.0,Film,PG,-,Mild,,Mild,Mild,
3640,The Dukes of Hazzard,1970-01-01 00:00:00.000002002,7.1,"12,450","Action, Comedy",60.0,Series,TV-PG,146,Mild,No Rate,,Mild,Mild
3641,All the Bright Places,1970-01-01 00:00:00.000002020,6.5,"25,843","Drama, Romance",107.0,Film,TV-MA,-,Mild,Mild,Moderate,,Moderate
3642,Tolkien,1970-01-01 00:00:00.000002019,6.8,"36,951","Biography, Drama, Romance",112.0,Film,PG-13,-,,Moderate,,Mild,Mild
3643,Equilibrium,1970-01-01 00:00:00.000002002,7.4,"318,971","Action, Drama, Sci-Fi",107.0,Film,R,-,,Moderate,Mild,Mild,Moderate
3644,Devious Maids,1970-01-01 00:00:00.000002002,7.8,"22,945","Comedy, Drama, Mystery",60.0,Series,TV-PG,49,Moderate,No Rate,No Rate,No Rate,No Rate
3645,Nine 1/2 Weeks,1970-01-01 00:00:00.000001986,6.0,"39,512","Drama, Romance",117.0,Film,R,-,Moderate,Mild,Mild,Mild,Mild
3646,The Mortuary Collection,1970-01-01 00:00:00.000002019,6.4,"10,365","Fantasy, Horror",108.0,Film,Not Rated,-,Moderate,Severe,Mild,Mild,Moderate
3647,Stronger,1970-01-01 00:00:00.000002017,6.9,"43,105","Biography, Drama",119.0,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate
3648,Ghost World,1970-01-01 00:00:00.000002001,7.3,"117,873","Comedy, Drama",111.0,Film,R,-,Mild,,Moderate,Mild,
3649,Frida,1970-01-01 00:00:00.000002002,7.4,"85,672","Biography, Drama, Romance",123.0,Film,R,-,Severe,Mild,Mild,Moderate,Mild
3650,The Boss Baby,1970-01-01 00:00:00.000002017,6.3,"117,693","Animation, Adventure, Comedy",97.0,Film,PG,-,Mild,Mild,Mild,Mild,Mild
3651,Piranha 3D,1970-01-01 00:00:00.000002010,5.4,"88,336","Comedy, Fantasy, Horror",88.0,Film,R,-,Severe,Severe,Severe,Severe,Severe
3652,The Mist,1970-01-01 00:00:00.000002017,5.4,"23,670","Drama, Horror, Mystery",42.0,Series,TV-14,10,Moderate,Severe,Moderate,Mild,Moderate
3653,Unsane,1970-01-01 00:00:00.000002018,6.4,"43,944","Drama, Horror, Mystery",98.0,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
3654,Donnie Brasco,1970-01-01 00:00:00.000001997,7.7,"292,084","Biography, Crime, Drama",127.0,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
3655,The Outer Limits,1970-01-01 00:00:00.000001997,7.7,"12,025","Drama, Fantasy, Horror",44.0,Series,TV-PG,152,Severe,Severe,Severe,Severe,Moderate
3656,City Slickers,1970-01-01 00:00:00.000001991,6.8,"53,176","Comedy, Western",113.0,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
3657,xXx: Return of Xander Cage,1970-01-01 00:00:00.000002017,5.2,"89,100","Action, Adventure, Thriller",107.0,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
3658,Babel,1970-01-01 00:00:00.000002006,7.4,"295,983",Drama,143.0,Film,R,-,Severe,Moderate,Moderate,Moderate,Moderate
3659,A Monster Calls,1970-01-01 00:00:00.000002016,7.5,"84,879","Adventure, Drama, Family",108.0,Film,PG-13,-,,Mild,,,Moderate
3660,Dorian Gray,1970-01-01 00:00:00.000002009,6.2,"62,774","Drama, Fantasy, Mystery",112.0,Film,R,-,Severe,Severe,Mild,Moderate,Moderate
3661,Siren,1970-01-01 00:00:00.000002009,7.0,"13,040","Drama, Fantasy",60.0,Series,TV-PG,36,Mild,Mild,,Mild,Mild
3662,Gyeongiroun Somun,1970-01-01 00:00:00.000002009,8.1,"4,103","Action, Fantasy, Horror",65.0,Series,TV-14,16,,Severe,,,Severe
3663,Scooby-Doo 2: Monsters Unleashed,1970-01-01 00:00:00.000002004,5.1,"53,616","Adventure, Comedy, Family",93.0,Film,PG,-,Mild,Mild,Mild,Mild,Mild
3664,MILF,1970-01-01 00:00:00.000002018,4.7,"5,438",Comedy,101.0,Film,TV-MA,-,Moderate,,Mild,Mild,
3665,Along Came Polly,1970-01-01 00:00:00.000002004,6.0,"131,828","Comedy, Romance",90.0,Film,PG-13,-,Mild,,Mild,Mild,
3666,Pacific Rim: Uprising,1970-01-01 00:00:00.000002018,5.6,"111,681","Action, Adventure, Sci-Fi",111.0,Film,PG-13,-,,Moderate,Mild,Mild,Moderate
3667,Robot Chicken,1970-01-01 00:00:00.000002018,7.7,"41,398","Animation, Short, Adventure",11.0,Series,TV-MA,219,Severe,Severe,Severe,Moderate,Moderate
3668,Cars 2,1970-01-01 00:00:00.000002011,6.1,"172,513","Animation, Adventure, Comedy",106.0,Film,G,-,,Moderate,,Mild,Moderate
3669,The Lost City of Z,1970-01-01 00:00:00.000002016,6.6,"85,124","Biography, Drama",141.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3670,Child 44,1970-01-01 00:00:00.000002015,6.5,"68,778","Crime, Drama, History",137.0,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
3671,Paul,1970-01-01 00:00:00.000002011,7.0,"243,738","Adventure, Comedy, Sci-Fi",104.0,Film,R,-,Mild,Mild,Severe,Moderate,Mild
3672,The Beta Test,1970-01-01 00:00:00.000002021,6.9,128,"Horror, Thriller",93.0,Film,Unrated,-,Mild,,Moderate,Mild,
3673,RuPaul's Drag Race,1970-01-01 00:00:00.000002021,8.4,"17,543","Game-Show, Reality-TV",63.0,Series,TV-14,179,Mild,,Moderate,Mild,
3674,Hancock,1970-01-01 00:00:00.000002008,6.4,"460,654","Action, Drama, Fantasy",92.0,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Moderate
3675,Hanna,1970-01-01 00:00:00.000002011,6.8,"194,732","Action, Adventure, Drama",111.0,Film,PG-13,-,Mild,Moderate,Moderate,,Moderate
3676,Nightbreed,1970-01-01 00:00:00.000001990,6.5,"21,635","Action, Fantasy, Horror",102.0,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
3678,State of Play,1970-01-01 00:00:00.000002009,7.1,"147,986","Crime, Drama, Mystery",127.0,Film,PG-13,-,,Moderate,Moderate,Mild,Mild
3680,Spawn,1970-01-01 00:00:00.000001997,5.2,"66,200","Action, Drama, Horror",96.0,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3681,Rebecca,1970-01-01 00:00:00.000001940,8.1,"131,430","Drama, Mystery, Romance",130.0,Film,Approved,-,,Mild,,Mild,Mild
3682,The Strangers: Prey at Night,1970-01-01 00:00:00.000002018,5.2,"29,360",Horror,85.0,Film,R,-,,Severe,Moderate,Mild,Severe
3683,Gyakkyô burai Kaiji,1970-01-01 00:00:00.000002018,8.3,"2,651","Animation, Action, Thriller",23.0,Series,TV-14,52,Mild,Severe,Moderate,Moderate,Severe
3684,First Reformed,1970-01-01 00:00:00.000002017,7.1,"52,356","Drama, Mystery, Thriller",113.0,Film,R,-,,Moderate,Mild,Moderate,Moderate
3685,Growing Pains,1970-01-01 00:00:00.000002017,6.6,"14,337","Comedy, Family",30.0,Series,TV-G,167,Severe,No Rate,No Rate,No Rate,No Rate
3686,Jay and Silent Bob Reboot,1970-01-01 00:00:00.000002019,5.7,"23,109","Action, Adventure, Comedy",105.0,Film,R,-,Mild,Mild,Severe,Severe,
3687,The Darjeeling Limited,1970-01-01 00:00:00.000002007,7.2,"189,129","Adventure, Comedy, Drama",91.0,Film,R,-,Mild,Mild,Moderate,Mild,Mild
3688,The Giver,1970-01-01 00:00:00.000002014,6.5,"115,430","Drama, Romance, Sci-Fi",97.0,Film,PG-13,-,,Moderate,,,Mild
3689,The Lords of Salem,1970-01-01 00:00:00.000002012,5.2,"29,093","Horror, Thriller",101.0,Film,R,-,Severe,Severe,Severe,Severe,Severe
3690,The Snowman,1970-01-01 00:00:00.000002017,5.1,"61,188","Crime, Drama, Thriller",119.0,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
3691,Marry Me,1970-01-01 00:00:00.000002022,No Rate,No Votes,"Comedy, Music, Romance",112.0,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate
3692,Riddick,1970-01-01 00:00:00.000002013,6.4,"159,576","Action, Sci-Fi, Thriller",119.0,Film,R,-,Moderate,Severe,Severe,Mild,Severe
3693,The Assassination of Jesse James by the Coward Robert Ford,1970-01-01 00:00:00.000002007,7.5,"174,970","Biography, Crime, Drama",160.0,Film,R,-,Mild,Severe,Mild,Mild,Moderate
3694,Honey Boy,1970-01-01 00:00:00.000002019,7.3,"33,212",Drama,94.0,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
3695,Nailed It!,1970-01-01 00:00:00.000002019,7.4,"4,400","Game-Show, Reality-TV",33.0,Series,TV-PG,39,Mild,,Mild,Mild,
3696,Violation,1970-01-01 00:00:00.000002020,5.3,"3,077","Drama, Horror",107.0,Film,Unrated,-,Severe,Severe,Moderate,Mild,Severe
